,text,question_score,adjusted_question_score,from_bot,_created
140,Bonjour!,,,True,2016-08-25 17:57:42
141,Howdy.,,,True,2016-08-25 17:57:47
142,Bonjour!,,,True,2016-08-25 17:58:23
143,Good night.,,,True,2016-08-25 19:19:10
144,,,,True,2016-08-25 21:22:37
145,Fantastic.,,,True,2016-08-26 13:30:12
146,Hallo.,,,True,2016-08-26 19:53:49
147,Bonjour!,,,True,2016-08-27 23:40:39
148,Superb.,,,True,2016-08-29 14:13:27
149,Indeed.,,,True,2016-08-29 14:13:31
150,Tea.,,,True,2016-08-29 14:13:36
151,Caroline.,,,True,2016-08-29 14:13:43
152,Heart.,,,True,2016-08-29 14:13:50
153,👍,,,True,2016-08-29 14:16:04
154,I concur.,,,True,2016-08-29 14:19:32
155,Indeed.,,,True,2016-08-29 15:13:35
156,Great.,,,True,2016-08-29 15:49:26
157,No problem.,,,True,2016-08-29 16:41:33
158,I concur.,,,True,2016-08-29 16:45:31
159,😂,,,True,2016-08-29 16:46:06
160,Yes,,,True,2016-08-29 17:58:33
161,No problem.,,,True,2016-08-29 18:25:51
162,👎,,,True,2016-08-29 18:53:20
163,Computing.,,,True,2016-08-29 18:55:45
164,Bonjour!,,,True,2016-08-29 19:36:42
165,👍,,,True,2016-08-29 19:38:06
166,🍱,,,True,2016-08-29 19:39:08
167,🌮,,,True,2016-08-29 19:39:18
168,🍔,,,True,2016-08-29 19:40:05
169,🍕,,,True,2016-08-29 20:05:36
170,🍪,,,True,2016-08-29 20:45:04
171,no,,,True,2016-08-29 20:47:10
172,no,,,True,2016-08-29 20:47:19
173,Howdy.,,,True,2016-08-29 20:53:19
174,Check.,,,True,2016-08-29 21:31:16
175,Check.,,,True,2016-08-29 21:31:20
176,Check.,,,True,2016-08-29 21:32:36
177,Check.,,,True,2016-08-29 21:32:55
178,🐱,,,True,2016-08-29 22:05:34
179,🐈,,,True,2016-08-29 22:06:31
180,🐱,,,True,2016-08-29 22:07:03
181,🐱,,,True,2016-08-29 22:07:05
182,🐈,,,True,2016-08-29 22:07:08
183,🐈,,,True,2016-08-29 22:07:11
184,🐶,,,True,2016-08-29 22:07:21
185,🍱,,,True,2016-08-29 22:11:23
186,🍔,,,True,2016-08-29 22:11:56
187,Fish!,,,True,2016-08-29 22:12:03
188,Tacos!,,,True,2016-08-29 22:12:44
189,My voice.,,,True,2016-08-29 22:14:52
190,I am here.,,,True,2016-08-29 22:35:29
191,Be nice.,,,True,2016-08-29 22:44:23
192,what ,45.0,80.0,False,
193,what,38.0,89.0,False,
194,,0.0,0.0,False,
195,hello,100.0,100.0,False,
196,,0.0,0.0,False,
197,what,38.0,89.0,False,
198,what ,45.0,80.0,False,
199,in what countr,52.0,100.0,False,
200,,0.0,0.0,False,
201,hi,100.0,100.0,False,
202,H,0.0,100.0,False,
203,Who are you?,88.0,88.0,False,
204,Do you like beer?,94.0,94.0,False,
205,Do you like Sam?,40.0,100.0,False,
206,On what?,40.0,100.0,False,
207,How are you,83.0,83.0,False,
208,Why do you dislike Sam?,28.0,100.0,False,
209,Are you sure you don't like Sam?,58.0,100.0,False,
210,Why else don't you like Sam?,29.0,100.0,False,
211,How do I enabled monetization?,38.0,100.0,False,
212,How do I connect to the speakers?,44.0,100.0,False,
213,what are you,62.0,100.0,False,
214,where are you,24.0,96.0,False,
215,where do you live,97.0,97.0,False,
216,hey,67.0,100.0,False,
217,ho,57.0,100.0,False,
218,wh,21.0,100.0,False,
219,dhshdsuhd,50.0,100.0,False,
220,what's your name?,100.0,100.0,False,
221,how now brown cow,47.0,100.0,False,
222,where are you,24.0,96.0,False,
223,hello,100.0,100.0,False,
224,how,75.0,100.0,False,
225,I am good thanks.,,0.0,True,2016-07-29 17:50:00
226,I am good thanks.,,0.0,True,2016-07-29 17:50:32
227,"None. Just kidding, I don't know.",,0.0,True,2016-07-29 17:55:09
228,hi,100.0,100.0,False,2016-07-29 18:52:07
229,dqw,20.0,100.0,False,2016-07-29 18:52:59
230,,0.0,0.0,False,2016-07-29 18:52:59
231,"None. Just kidding, I don't know.",,0.0,True,2016-07-29 18:52:59
232,,0.0,0.0,False,2016-07-29 18:52:59
233,"None. Just kidding, I don't know.",,0.0,True,2016-07-29 18:52:59
234,How old are you?,94.0,94.0,False,2016-07-29 18:53:14
235,Where is my money Baily?,38.0,100.0,False,2016-07-29 18:54:06
236,I wish I knew.,,0.0,True,2016-07-29 18:54:06
237,What's Eric's middlename?,62.0,100.0,False,2016-07-29 18:58:28
238,My name is .,,0.0,True,2016-07-29 18:58:28
239,same question,58.0,100.0,False,2016-07-29 19:11:11
240,who are ya,36.0,100.0,False,2016-07-29 19:12:05
241,how u doin,32.0,100.0,False,2016-07-29 19:13:25
242,ya good lol?,40.0,100.0,False,2016-07-29 19:13:48
243,hello,100.0,100.0,False,2016-08-01 19:16:24
244,hi,100.0,100.0,False,2016-08-01 20:08:42
245,hi,100.0,100.0,False,2016-08-01 20:08:59
246,Doing all'aight.,,0.0,True,2016-08-01 20:09:36
247,how are you?,96.0,96.0,False,2016-08-01 20:09:36
248,Too cool for school.,,0.0,True,2016-08-01 20:09:48
249,Cool,67.0,100.0,False,2016-08-01 20:09:48
250,hi,100.0,100.0,False,2016-08-01 20:18:17
251,hey,67.0,100.0,False,2016-08-01 20:18:28
252,Doing all'aight.,,0.0,True,2016-08-01 20:18:35
253,how are you baily?,84.0,84.0,False,2016-08-01 20:18:35
254,Too cool for school.,,0.0,True,2016-08-01 20:18:44
255,good,44.0,100.0,False,2016-08-01 20:18:44
256,are you hot?,30.0,100.0,False,2016-08-01 20:18:48
257,hello,100.0,100.0,False,2016-08-01 20:33:20
258,h,40.0,100.0,False,2016-08-01 20:33:58
259,"None. Just kidding, I don't know.",,0.0,True,2016-08-01 20:34:48
260,who are you dude?,35.0,100.0,False,2016-08-01 20:34:48
261,Baily I love you,31.0,100.0,False,2016-08-01 20:34:52
262,really?,40.0,100.0,False,2016-08-01 20:34:59
263,ok,100.0,100.0,False,2016-08-01 20:35:03
264,yo baily,24.0,100.0,False,2016-08-01 21:41:10
265,hi,100.0,100.0,False,2016-08-01 21:41:18
266,what's up?,95.0,95.0,False,2016-08-01 21:41:24
267,where is my money,31.0,100.0,False,2016-08-01 22:07:41
268,Not telling you.,,0.0,True,2016-08-01 22:07:54
269,what?,45.0,100.0,False,2016-08-01 22:07:54
270,,0.0,0.0,False,2016-08-03 20:28:44
271,What if I don't want to tell you?,,0.0,True,2016-08-03 21:18:56
272,what's your name,97.0,97.0,False,2016-08-03 21:18:56
273,What if I don't want to tell you?,,0.0,True,2016-08-03 21:19:02
274,what's your name damn it,78.0,100.0,False,2016-08-03 21:19:02
275,What if I don't want to tell you?,,0.0,True,2016-08-03 21:19:10
276,what's your name,97.0,97.0,False,2016-08-03 21:19:10
277, is my name and helping is my game.,,0.0,True,2016-08-03 21:19:31
278,what's your name,97.0,97.0,False,2016-08-03 21:19:31
279,What if I don't want to tell you?,,0.0,True,2016-08-03 21:21:24
280,what's your name,97.0,97.0,False,2016-08-03 21:21:24
281,hi,100.0,100.0,False,2016-08-03 21:21:58
282,Baily is my name and helping is my game.,,0.0,True,2016-08-03 21:23:44
283,what's your name,97.0,97.0,False,2016-08-03 21:23:44
284,good to know,34.0,100.0,False,2016-08-03 21:23:56
285,It is currently ,,0.0,True,2016-08-03 21:25:18
286,who is sam,46.0,100.0,False,2016-08-03 21:25:18
287,Baily is my name and helping is my game.,,0.0,True,2016-08-03 22:55:54
288,What's eric's middle name,57.0,100.0,False,2016-08-03 22:55:54
289,Hi there,20.0,100.0,False,2016-08-03 22:56:22
290,I am the mighty Baily! And I'm here to save your day.,,0.0,True,2016-08-03 22:56:34
291,What?,36.0,80.0,False,2016-08-03 22:56:34
292,Good day friend. I'm well.,,0.0,True,2016-08-03 22:57:06
293,How are you,83.0,83.0,False,2016-08-03 22:57:06
